"group","slope","se_slope","df","CI_lower","Ci_upper"
"control",-2.91666666666667,1.80117527113753,148,-6.47600963490238,0.64267630156903
"valerian",-3.56250000000001,1.51467859986143,158,-6.55412969529295,-0.570870304707076
